race_id,driver_id,races_with_lap_data_previous_3,avg_lap_time_previous_3_races,best_lap_time_previous_3_races,lap_time_std_previous_3_races,avg_race_pace_rank_previous_3_races,avg_completed_laps_previous_3_races
2010_11,grassi,3,94.99733333333334,81.937,9.263372759901705,22.0,43.333333333333336
2010_11,yamamoto,1,98.309,98.309,0.0,22.0,50.0
2010_11,trulli,3,93.02666666666666,80.791,8.91354416354996,19.0,50.333333333333336
2010_11,buemi,3,90.94933333333334,79.78399999999999,8.410913756674853,11.333333333333334,59.333333333333336
2010_12,webber,3,91.03533333333333,76.678,11.219692964703722,12.0,42.333333333333336
2010_12,alonso,3,88.88099999999999,75.88,9.902425864403126,4.333333333333333,58.666666666666664
2010_12,vettel,3,88.97733333333333,75.824,9.751041049834402,2.3333333333333335,58.666666666666664
2010_12,massa,3,89.31700000000001,76.09700000000001,9.980088877359757,6.0,58.666666666666664
2010_12,petrov,3,89.92733333333335,77.19800000000001,9.522878043019459,11.333333333333334,58.333333333333336
2010_12,hulkenberg,3,90.53833333333334,76.836,10.078983226937574,13.666666666666666,55.666666666666664
2010_12,rosa,3,90.94666666666666,76.527,10.363843956542166,13.0,50.666666666666664
2010_12,button,3,89.40666666666668,76.451,9.45833023788496,4.666666666666667,58.666666666666664
2010_12,kobayashi,3,90.05833333333332,77.1,9.480373492408177,10.333333333333334,58.333333333333336
2010_12,barrichello,3,90.04433333333333,77.029,9.51052558426131,9.666666666666666,58.333333333333336
2010_12,michael_schumacher,3,90.07566666666666,77.088,9.390151448311274,10.333333333333334,58.333333333333336
2010_12,buemi,3,,92.98,3.5519999999999996,9.5,36.666666666666664
2010_12,liuzzi,3,90.30633333333333,76.596,10.028676294617462,11.666666666666666,58.0
2010_12,kovalainen,3,94.34833333333334,80.664,10.483141842448228,20.333333333333332,38.333333333333336
2010_12,trulli,3,110.91366666666666,96.519,16.781599096099935,20.333333333333332,35.666666666666664
2010_12,glock,3,92.315,78.211,10.260162961668788,18.666666666666668,56.333333333333336
2010_12,bruno_senna,3,89.43733333333334,80.861,9.655144477887884,21.666666666666668,44.0
2010_12,grassi,3,94.58600000000001,80.703,9.843412314842857,21.333333333333332,38.333333333333336
2010_12,yamamoto,2,90.925,83.541,7.384,22.0,34.5
2010_12,hamilton,3,89.47233333333332,76.503,9.53541840834592,5.0,58.666666666666664
2010_12,kubica,3,91.18466666666666,77.166,9.97361069133051,14.666666666666666,47.333333333333336
2010_12,rosberg,3,89.81299999999999,76.60900000000001,9.755394439317488,8.0,58.333333333333336
2010_12,sutil,3,90.27566666666667,76.687,9.864352836800238,11.333333333333334,58.0
2010_12,alguersuari,3,90.34866666666666,76.971,9.833354271164149,13.0,55.666666666666664
2010_13,hamilton,3,85.173,76.503,6.680278187820223,8.333333333333334,47.333333333333336
2010_13,webber,3,83.89766666666667,76.678,6.464172147735207,5.0,63.0
2010_13,kubica,3,86.94566666666667,77.166,8.034779413414052,17.333333333333332,36.0
2010_13,massa,3,83.69066666666667,76.09700000000001,6.353002037532244,3.3333333333333335,63.0
