race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2012_05,karthikeyan,5,0,0.0,0.0,0.0,0,21.0,23.6,17,24,54.8,0
2012_05,bruno_senna,5,2,0.4,14.0,2.8,2,13.6,13.0,6,22,57.4,2
2012_05,michael_schumacher,5,2,0.4,2.0,0.4,2,15.8,8.2,10,24,41.0,2
2012_06,webber,5,4,0.8,48.0,9.6,4,5.4,5.8,4,11,58.4,0
2012_06,rosberg,5,3,0.6,41.0,8.2,3,7.6,5.2,1,13,58.6,0
2012_06,alonso,5,5,1.0,61.0,12.2,5,4.8,8.0,1,9,58.6,0
2012_06,vettel,5,4,0.8,61.0,12.2,4,5.0,6.0,1,11,58.6,0
2012_06,hamilton,5,5,1.0,53.0,10.6,5,5.0,7.0,3,8,58.6,0
2012_06,massa,5,1,0.2,2.0,0.4,1,13.8,14.0,9,17,56.0,1
2012_06,resta,5,3,0.6,15.0,3.0,3,9.8,13.2,6,14,58.4,0
2012_06,hulkenberg,5,2,0.4,3.0,0.6,2,13.6,13.4,9,22,46.8,1
2012_06,raikkonen,5,4,0.8,49.0,9.8,4,6.2,9.2,2,14,58.6,0
2012_06,bruno_senna,5,2,0.4,14.0,2.8,2,14.8,14.6,6,23,46.0,3
2012_06,perez,5,2,0.4,22.0,4.4,2,10.4,10.4,2,20,52.8,1
2012_06,vergne,5,1,0.2,4.0,0.8,1,12.2,16.8,8,16,58.4,0
2012_06,kovalainen,5,0,0.0,0.0,0.0,0,18.4,19.0,16,23,53.4,1
2012_06,glock,5,0,0.0,0.0,0.0,0,17.4,20.8,14,19,57.2,0
2012_06,karthikeyan,5,0,0.0,0.0,0.0,0,20.6,23.4,17,22,48.4,1
2012_06,button,5,3,0.6,45.0,9.0,3,8.8,4.6,1,18,58.2,1
2012_06,ricciardo,5,1,0.2,2.0,0.4,1,13.2,12.6,9,17,58.2,0
2012_06,pic,5,0,0.0,0.0,0.0,0,20.0,20.4,15,24,44.2,2
2012_06,michael_schumacher,5,2,0.4,2.0,0.4,2,17.6,7.8,10,24,29.4,3
