race_id,driver_id,telemetry_races_previous_3,avg_speed_previous_3_races,max_speed_previous_3_races,avg_throttle_previous_3_races,avg_brake_previous_3_races,avg_drs_previous_3_races,drs_usage_rate_previous_3_races,avg_distance_previous_3_races
2011_06,petrov,3,197.63400000000001,212.063,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,alguersuari,3,195.81233333333333,213.771,0.0,0.0,0.0,0.0,43.333333333333336
2011_06,massa,3,197.33900000000003,210.9,0.0,0.0,0.0,0.0,57.333333333333336
2011_06,michael_schumacher,3,197.33866666666665,210.819,0.0,0.0,0.0,0.0,59.666666666666664
2011_06,glock,2,185.438,187.999,0.0,0.0,0.0,0.0,58.5
2011_06,perez,3,198.92766666666662,211.645,0.0,0.0,0.0,0.0,59.0
2011_07,button,3,186.506,210.786,0.0,0.0,0.0,0.0,67.33333333333333
2011_07,vettel,3,187.86233333333334,213.669,0.0,0.0,0.0,0.0,67.33333333333333
2011_07,webber,3,188.0523333333333,214.226,0.0,0.0,0.0,0.0,67.33333333333333
2011_07,michael_schumacher,3,182.93666666666664,210.819,0.0,0.0,0.0,0.0,51.666666666666664
2011_07,petrov,3,183.10033333333334,212.063,0.0,0.0,0.0,0.0,63.333333333333336
2011_07,massa,3,182.98033333333333,210.9,0.0,0.0,0.0,0.0,49.333333333333336
2011_07,kobayashi,3,185.29999999999998,211.085,0.0,0.0,0.0,0.0,67.0
2011_07,alguersuari,3,184.915,213.771,0.0,0.0,0.0,0.0,62.333333333333336
2011_07,barrichello,3,184.85633333333337,208.699,0.0,0.0,0.0,0.0,66.0
2011_07,buemi,3,182.98833333333334,210.341,0.0,0.0,0.0,0.0,66.66666666666667
2011_07,rosberg,3,184.30566666666667,212.169,0.0,0.0,0.0,0.0,66.33333333333333
2011_07,rosa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011_07,liuzzi,3,176.27833333333334,202.925,0.0,0.0,0.0,0.0,52.0
2011_07,ambrosio,3,177.04833333333332,202.343,0.0,0.0,0.0,0.0,64.33333333333333
2011_07,glock,2,164.664,182.877,0.0,0.0,0.0,0.0,46.5
2011_07,trulli,3,179.82366666666667,206.939,0.0,0.0,0.0,0.0,65.66666666666667
2011_07,karthikeyan,3,176.79099999999997,204.547,0.0,0.0,0.0,0.0,63.333333333333336
2011_07,resta,3,182.5823333333333,207.706,0.0,0.0,0.0,0.0,61.666666666666664
2011_07,maldonado,3,182.87766666666667,208.778,0.0,0.0,0.0,0.0,65.0
2011_07,heidfeld,3,186.76466666666667,213.145,0.0,0.0,0.0,0.0,66.66666666666667
2011_07,sutil,3,183.30100000000002,208.719,0.0,0.0,0.0,0.0,66.33333333333333
2011_07,alonso,3,186.31533333333334,212.86,0.0,0.0,0.0,0.0,67.0
2011_07,kovalainen,3,180.42600000000002,207.312,0.0,0.0,0.0,0.0,60.0
2011_07,hamilton,3,186.98233333333334,213.264,0.0,0.0,0.0,0.0,67.33333333333333
2011_08,vettel,3,184.41166666666666,203.317,0.0,0.0,0.0,0.0,71.33333333333333
2011_08,alonso,3,170.90233333333333,188.85,0.0,0.0,0.0,0.0,59.666666666666664
2011_08,webber,3,182.41033333333334,197.3,0.0,0.0,0.0,0.0,71.33333333333333
2011_08,hamilton,3,169.42466666666667,193.227,0.0,0.0,0.0,0.0,50.333333333333336
2011_08,massa,3,178.79933333333335,198.357,0.0,0.0,0.0,0.0,53.333333333333336
2011_08,button,3,184.24633333333335,204.007,0.0,0.0,0.0,0.0,71.33333333333333
2011_08,rosberg,3,178.93933333333334,196.07,0.0,0.0,0.0,0.0,70.33333333333333
2011_08,alguersuari,3,178.77100000000004,195.339,0.0,0.0,0.0,0.0,66.66666666666667
2011_08,sutil,3,171.76433333333333,188.735,0.0,0.0,0.0,0.0,63.666666666666664
2011_08,heidfeld,3,177.18566666666666,192.713,0.0,0.0,0.0,0.0,65.66666666666667
2011_08,perez,2,201.86,211.645,0.0,0.0,0.0,0.0,61.0
2011_08,barrichello,3,180.44733333333332,195.472,0.0,0.0,0.0,0.0,70.33333333333333
2011_08,buemi,3,178.69500000000002,197.461,0.0,0.0,0.0,0.0,70.66666666666667
2011_08,resta,3,179.2603333333333,197.74,0.0,0.0,0.0,0.0,69.33333333333333
2011_08,petrov,3,178.61033333333333,198.593,0.0,0.0,0.0,0.0,67.33333333333333
2011_08,kobayashi,3,180.17933333333335,195.723,0.0,0.0,0.0,0.0,71.0
2011_08,michael_schumacher,3,178.79100000000003,198.382,0.0,0.0,0.0,0.0,55.666666666666664
2011_08,maldonado,3,175.389,187.468,0.0,0.0,0.0,0.0,66.33333333333333
2011_08,kovalainen,3,164.47233333333335,184.93,0.0,0.0,0.0,0.0,50.666666666666664
2011_08,trulli,3,174.48266666666666,190.916,0.0,0.0,0.0,0.0,69.66666666666667
2011_08,glock,3,171.64133333333334,185.596,0.0,0.0,0.0,0.0,54.0
2011_08,ambrosio,3,173.037,190.309,0.0,0.0,0.0,0.0,68.66666666666667
2011_08,liuzzi,3,171.37033333333332,188.201,0.0,0.0,0.0,0.0,57.333333333333336
2011_08,karthikeyan,3,171.571,188.887,0.0,0.0,0.0,0.0,68.0
2011_09,alonso,3,171.51333333333332,190.683,0.0,0.0,0.0,0.0,57.0
2011_09,vettel,3,184.16966666666667,203.317,0.0,0.0,0.0,0.0,68.33333333333333
2011_09,webber,3,181.76200000000003,197.3,0.0,0.0,0.0,0.0,68.33333333333333
2011_09,hamilton,3,168.18200000000002,189.499,0.0,0.0,0.0,0.0,47.333333333333336
2011_09,massa,3,179.40766666666664,198.357,0.0,0.0,0.0,0.0,53.0
2011_09,rosberg,3,179.023,196.07,0.0,0.0,0.0,0.0,67.66666666666667
2011_09,perez,2,189.87349999999998,192.075,0.0,0.0,0.0,0.0,60.5
2011_09,heidfeld,3,175.5343333333333,187.759,0.0,0.0,0.0,0.0,62.666666666666664
2011_09,michael_schumacher,3,178.53333333333333,198.382,0.0,0.0,0.0,0.0,52.666666666666664
2011_09,alguersuari,3,178.881,195.339,0.0,0.0,0.0,0.0,64.0
2011_09,sutil,3,171.66566666666665,188.439,0.0,0.0,0.0,0.0,60.666666666666664
2011_09,petrov,3,179.30266666666668,198.593,0.0,0.0,0.0,0.0,64.33333333333333
2011_09,barrichello,3,178.60800000000003,195.472,0.0,0.0,0.0,0.0,67.66666666666667
2011_09,maldonado,3,175.95133333333334,189.155,0.0,0.0,0.0,0.0,63.333333333333336
2011_09,resta,3,179.4416666666667,197.74,0.0,0.0,0.0,0.0,66.33333333333333
2011_09,glock,3,171.668,185.596,0.0,0.0,0.0,0.0,51.333333333333336
2011_09,ambrosio,3,173.36066666666667,190.309,0.0,0.0,0.0,0.0,66.33333333333333
2011_09,liuzzi,3,172.409,188.201,0.0,0.0,0.0,0.0,66.0
2011_09,ricciardo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011_09,button,3,183.9606666666667,204.007,0.0,0.0,0.0,0.0,68.33333333333333
2011_09,buemi,3,179.12733333333335,197.461,0.0,0.0,0.0,0.0,67.66666666666667
2011_09,kobayashi,3,179.242,195.723,0.0,0.0,0.0,0.0,68.0
2011_09,trulli,3,174.1783333333333,190.916,0.0,0.0,0.0,0.0,66.66666666666667
2011_09,kovalainen,3,164.72799999999998,185.697,0.0,0.0,0.0,0.0,53.0
2011_10,hamilton,3,190.19633333333334,220.499,0.0,0.0,0.0,0.0,38.666666666666664
2011_10,alonso,3,193.586,223.454,0.0,0.0,0.0,0.0,48.333333333333336
2011_10,webber,3,203.08266666666668,221.686,0.0,0.0,0.0,0.0,59.666666666666664
2011_10,vettel,3,205.59033333333332,221.918,0.0,0.0,0.0,0.0,59.666666666666664
2011_10,massa,3,203.477,222.129,0.0,0.0,0.0,0.0,59.666666666666664
2011_10,sutil,3,193.92033333333333,219.213,0.0,0.0,0.0,0.0,52.333333333333336
2011_10,rosberg,3,200.91833333333332,218.47,0.0,0.0,0.0,0.0,59.666666666666664
2011_10,michael_schumacher,3,201.16133333333335,218.558,0.0,0.0,0.0,0.0,59.333333333333336
2011_10,kobayashi,3,198.258,210.595,0.0,0.0,0.0,0.0,49.666666666666664
2011_10,petrov,3,202.641,220.206,0.0,0.0,0.0,0.0,59.333333333333336
2011_10,perez,2,203.54250000000002,219.413,0.0,0.0,0.0,0.0,54.0
2011_10,alguersuari,3,200.65233333333333,218.275,0.0,0.0,0.0,0.0,59.333333333333336
2011_10,resta,3,200.71133333333333,216.545,0.0,0.0,0.0,0.0,58.0
2011_10,maldonado,3,198.00666666666666,218.553,0.0,0.0,0.0,0.0,56.0
2011_10,buemi,3,198.81933333333333,211.602,0.0,0.0,0.0,0.0,50.333333333333336
2011_10,kovalainen,3,169.25900000000001,185.697,0.0,0.0,0.0,0.0,28.333333333333332
2011_10,glock,3,193.67666666666665,212.477,0.0,0.0,0.0,0.0,58.0
2011_10,ambrosio,3,194.415,210.894,0.0,0.0,0.0,0.0,58.0
2011_10,ricciardo,1,210.163,210.163,0.0,0.0,0.0,0.0,49.0
2011_10,chandhok,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011_10,liuzzi,3,193.59433333333334,210.97,0.0,0.0,0.0,0.0,57.666666666666664
2011_10,button,3,204.43500000000003,218.675,0.0,0.0,0.0,0.0,55.333333333333336
2011_10,barrichello,3,200.6846666666667,219.238,0.0,0.0,0.0,0.0,59.0
2011_10,heidfeld,3,196.846,218.371,0.0,0.0,0.0,0.0,54.333333333333336
2011_11,button,3,200.61,218.675,0.0,0.0,0.0,0.0,43.666666666666664
2011_11,vettel,3,203.129,221.918,0.0,0.0,0.0,0.0,56.333333333333336
2011_11,alonso,3,203.33,223.454,0.0,0.0,0.0,0.0,56.333333333333336
2011_11,hamilton,3,202.17466666666667,220.499,0.0,0.0,0.0,0.0,56.333333333333336
2011_11,webber,3,202.70933333333332,221.686,0.0,0.0,0.0,0.0,56.333333333333336
2011_11,massa,3,202.654,222.129,0.0,0.0,0.0,0.0,56.333333333333336
2011_11,resta,3,198.67200000000003,216.545,0.0,0.0,0.0,0.0,55.333333333333336
2011_11,buemi,3,196.12366666666665,211.602,0.0,0.0,0.0,0.0,46.666666666666664
2011_11,rosberg,3,199.79033333333334,218.47,0.0,0.0,0.0,0.0,56.0
2011_11,alguersuari,3,198.95433333333335,218.275,0.0,0.0,0.0,0.0,55.666666666666664
2011_11,kobayashi,3,196.928,210.595,0.0,0.0,0.0,0.0,46.0
2011_11,petrov,3,200.66866666666667,220.206,0.0,0.0,0.0,0.0,55.666666666666664
2011_11,barrichello,3,197.50199999999998,219.238,0.0,0.0,0.0,0.0,41.0
2011_11,sutil,3,199.79899999999998,219.213,0.0,0.0,0.0,0.0,56.0
2011_11,perez,3,199.3596666666667,219.413,0.0,0.0,0.0,0.0,55.666666666666664
2011_11,maldonado,3,199.21833333333333,218.553,0.0,0.0,0.0,0.0,55.333333333333336
2011_11,glock,3,193.59833333333333,212.477,0.0,0.0,0.0,0.0,54.0
2011_11,ricciardo,2,197.2945,210.163,0.0,0.0,0.0,0.0,53.0
2011_11,ambrosio,3,192.88633333333337,210.894,0.0,0.0,0.0,0.0,54.0
2011_11,liuzzi,3,192.21733333333336,210.97,0.0,0.0,0.0,0.0,47.0
2011_11,kovalainen,3,178.477,187.105,0.0,0.0,0.0,0.0,38.333333333333336
2011_11,michael_schumacher,3,199.63400000000001,218.558,0.0,0.0,0.0,0.0,55.666666666666664
2011_11,heidfeld,3,197.49300000000002,218.371,0.0,0.0,0.0,0.0,39.0
2011_11,trulli,3,186.07533333333333,190.916,0.0,0.0,0.0,0.0,44.666666666666664
2011_12,vettel,3,201.9623333333333,221.918,0.0,0.0,0.0,0.0,60.666666666666664
2011_12,webber,3,202.085,221.686,0.0,0.0,0.0,0.0,60.666666666666664
2011_12,button,3,199.70166666666668,218.675,0.0,0.0,0.0,0.0,48.0
2011_12,alonso,3,202.57066666666665,223.454,0.0,0.0,0.0,0.0,60.666666666666664
2011_12,michael_schumacher,3,196.00833333333333,218.558,0.0,0.0,0.0,0.0,45.666666666666664
2011_12,rosberg,3,199.00533333333337,218.47,0.0,0.0,0.0,0.0,60.0
2011_12,sutil,3,198.41666666666666,219.213,0.0,0.0,0.0,0.0,60.0
2011_12,massa,3,202.36333333333334,222.129,0.0,0.0,0.0,0.0,60.666666666666664
2011_12,petrov,3,199.72199999999998,220.206,0.0,0.0,0.0,0.0,60.0
2011_12,maldonado,3,197.49366666666666,218.553,0.0,0.0,0.0,0.0,59.333333333333336
2011_12,resta,3,197.232,216.545,0.0,0.0,0.0,0.0,59.666666666666664
2011_12,kobayashi,3,196.20399999999998,210.595,0.0,0.0,0.0,0.0,50.333333333333336
2011_12,bruno_senna,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011_12,trulli,3,177.629,183.681,0.0,0.0,0.0,0.0,27.333333333333332
2011_12,kovalainen,3,176.90200000000002,187.105,0.0,0.0,0.0,0.0,38.333333333333336
2011_12,barrichello,3,196.89000000000001,219.238,0.0,0.0,0.0,0.0,45.0
2011_12,ambrosio,3,191.23000000000002,210.894,0.0,0.0,0.0,0.0,57.333333333333336
2011_12,glock,3,192.33833333333334,212.477,0.0,0.0,0.0,0.0,57.666666666666664
2011_12,liuzzi,3,190.61166666666665,210.97,0.0,0.0,0.0,0.0,50.666666666666664
2011_12,perez,3,198.65233333333336,219.413,0.0,0.0,0.0,0.0,59.666666666666664
2011_12,ricciardo,3,190.68166666666664,210.163,0.0,0.0,0.0,0.0,57.333333333333336
2011_12,hamilton,3,201.8473333333333,220.499,0.0,0.0,0.0,0.0,60.666666666666664
2011_12,buemi,3,194.80499999999998,211.602,0.0,0.0,0.0,0.0,51.0
2011_12,alguersuari,3,197.28566666666666,218.275,0.0,0.0,0.0,0.0,60.0
2011_13,vettel,3,204.08466666666666,228.285,0.0,0.0,0.0,0.0,58.0
2011_13,button,3,203.174,229.092,0.0,0.0,0.0,0.0,49.666666666666664
2011_13,alonso,3,203.73166666666668,226.937,0.0,0.0,0.0,0.0,58.0
2011_13,hamilton,3,201.024,218.029,0.0,0.0,0.0,0.0,47.333333333333336
2011_13,michael_schumacher,3,198.78099999999998,226.876,0.0,0.0,0.0,0.0,43.0
2011_13,massa,3,203.65633333333335,226.008,0.0,0.0,0.0,0.0,58.0
2011_13,alguersuari,2,186.791,190.245,0.0,0.0,0.0,0.0,64.0
2011_13,resta,3,199.28233333333333,222.696,0.0,0.0,0.0,0.0,57.333333333333336
2011_13,bruno_senna,1,221.987,221.987,0.0,0.0,0.0,0.0,44.0
2011_13,buemi,3,196.236,215.895,0.0,0.0,0.0,0.0,44.666666666666664
2011_13,maldonado,3,198.78366666666668,222.423,0.0,0.0,0.0,0.0,57.0
2011_13,barrichello,3,199.92433333333335,228.341,0.0,0.0,0.0,0.0,42.333333333333336
2011_13,kovalainen,3,196.38566666666668,221.08,0.0,0.0,0.0,0.0,52.0
2011_13,trulli,3,189.76066666666668,220.076,0.0,0.0,0.0,0.0,23.333333333333332
2011_13,glock,3,193.63199999999998,216.358,0.0,0.0,0.0,0.0,55.333333333333336
2011_13,ricciardo,3,190.766,210.416,0.0,0.0,0.0,0.0,45.333333333333336
2011_13,perez,3,199.08333333333334,220.706,0.0,0.0,0.0,0.0,51.333333333333336
2011_13,kobayashi,3,199.81533333333334,221.429,0.0,0.0,0.0,0.0,57.333333333333336
2011_13,sutil,3,199.99433333333334,223.946,0.0,0.0,0.0,0.0,57.333333333333336
2011_13,webber,3,204.678,229.465,0.0,0.0,0.0,0.0,58.0
