race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_07,maldonado,3,23.13825,13.925,26.468,10,75.16799999999999,15.333333333333334
2011_07,heidfeld,3,23.05558333333333,20.796,26.281,9,67.726,11.333333333333334
2011_07,sutil,3,23.042555555555555,20.267,27.879,8,60.30833333333334,7.666666666666667
2011_07,alonso,3,23.459333333333333,20.238,31.382,10,74.926,17.666666666666668
2011_07,kovalainen,3,23.4475,20.807,26.477,8,61.616666666666674,9.333333333333334
2011_07,hamilton,3,23.732166666666668,19.347,35.688,11,86.28766666666667,21.333333333333332
2011_08,vettel,3,23.956388888888892,19.887,28.536,8,59.583333333333336,10.0
2011_08,alonso,3,24.76813888888889,20.238,31.382,9,71.67566666666667,16.333333333333332
2011_08,webber,3,25.737916666666667,19.984,37.735,9,73.315,15.666666666666666
2011_08,hamilton,3,23.143625,19.347,31.445,7,79.613,21.0
2011_08,massa,3,24.288833333333333,20.8,28.346,8,63.334333333333326,9.0
2011_08,button,3,23.087722222222226,14.501,31.718,12,92.77433333333335,16.0
2011_08,rosberg,3,22.759666666666664,19.534,25.31,10,75.90633333333334,11.666666666666666
2011_08,alguersuari,3,24.306972222222225,20.741,27.55,9,71.15933333333334,15.333333333333334
2011_08,sutil,3,23.792861111111108,14.565,32.449,9,70.39166666666667,11.666666666666666
2011_08,heidfeld,3,23.553833333333333,20.796,26.281,7,54.22666666666667,6.333333333333333
2011_08,perez,3,23.124625,21.143,29.27,7,81.4045,17.0
2011_08,barrichello,3,24.312916666666666,20.637,29.936,10,80.05300000000001,16.666666666666668
2011_08,buemi,3,24.15619444444445,20.818,26.561,9,72.20966666666668,12.666666666666666
2011_08,resta,3,24.322999999999997,14.538,47.226,10,80.367,12.666666666666666
2011_08,petrov,3,25.148500000000002,21.739,28.856,6,48.214666666666666,8.0
2011_08,kobayashi,3,24.986944444444443,20.5,28.642,6,47.815333333333335,7.0
2011_08,michael_schumacher,3,26.338972222222225,20.084,35.084,8,63.49166666666667,9.0
2011_08,maldonado,3,24.789783333333332,21.574,31.701,11,90.27466666666668,19.0
2011_08,kovalainen,3,30.615277777777777,20.807,44.037,6,53.762,7.666666666666667
2011_08,trulli,3,27.192666666666668,21.723,51.684,8,72.968,14.666666666666666
2011_08,glock,3,24.475888888888893,21.17,26.827,6,47.29233333333334,5.666666666666667
2011_08,ambrosio,3,24.85063333333333,14.538,30.714,10,82.15133333333334,17.666666666666668
2011_08,liuzzi,3,27.74911111111111,23.157,34.897,5,48.943999999999996,6.666666666666667
2011_08,karthikeyan,3,29.326055555555556,24.298,39.917,7,66.82866666666668,14.333333333333334
2011_09,alonso,3,24.848333333333333,20.136,31.382,8,65.08933333333334,13.333333333333334
2011_09,vettel,3,24.082444444444445,20.331,28.536,7,53.22333333333333,7.0
2011_09,webber,3,25.76388888888889,20.319,37.735,8,66.62433333333333,11.666666666666666
2011_09,hamilton,3,23.226,19.347,31.445,6,69.678,15.0
2011_09,massa,3,24.489388888888886,20.404,28.346,8,63.936,13.0
2011_09,rosberg,3,23.30644444444445,20.896,25.31,10,77.54666666666667,17.0
2011_09,perez,3,22.063499999999998,21.143,23.592,4,44.25149999999999,7.0
2011_09,heidfeld,3,23.753833333333336,21.472,26.281,7,54.826666666666675,10.666666666666666
2011_09,michael_schumacher,3,27.67363888888889,21.168,35.084,8,67.49566666666666,15.0
2011_09,alguersuari,3,24.24138888888889,21.103,27.55,7,56.73233333333334,8.666666666666666
2011_09,sutil,3,23.54041666666667,14.565,32.449,9,69.63433333333334,13.0
2011_09,petrov,3,24.76516666666667,21.105,28.856,6,47.064666666666675,8.333333333333334
2011_09,barrichello,3,23.687833333333334,21.163,25.921,9,70.47366666666666,13.666666666666666
2011_09,maldonado,3,24.37036666666667,21.301,31.701,10,81.41966666666667,17.0
2011_09,resta,3,24.51022222222222,14.538,47.226,10,80.92866666666667,16.0
2011_09,glock,3,24.51466666666667,21.9,26.827,5,40.086999999999996,3.3333333333333335
2011_09,ambrosio,3,24.675466666666665,14.538,30.714,9,74.26033333333334,14.0
2011_09,liuzzi,3,27.74788888888889,22.235,34.897,7,64.37833333333333,13.666666666666666
2011_09,ricciardo,0,0.0,0.0,0.0,0,0.0,0.0
2011_09,button,3,23.189500000000006,14.501,31.718,12,93.07966666666668,18.0
2011_09,buemi,3,23.755527777777775,20.46,26.561,9,71.00766666666668,13.666666666666666
2011_09,kobayashi,3,24.93766666666667,20.545,28.642,5,40.328,4.333333333333333
2011_09,trulli,3,27.314777777777778,22.131,51.684,7,65.758,12.0
2011_09,kovalainen,3,30.849166666666665,21.126,44.037,6,54.46366666666666,11.666666666666666
2011_10,hamilton,3,22.348666666666666,20.212,25.1,6,67.04599999999999,11.0
2011_10,alonso,3,23.616444444444443,20.136,26.566,9,70.84933333333333,13.333333333333334
2011_10,webber,3,23.235222222222223,20.319,29.546,9,69.70566666666666,11.0
2011_10,vettel,3,23.40522222222222,20.331,31.558,9,70.21566666666666,12.333333333333334
2011_10,massa,3,23.542833333333334,20.404,28.346,10,78.83966666666666,17.0
