race_id,driver_id,dnf_previous_5,dns_previous_5,mechanical_dnf_previous_5,accident_dnf_previous_5,disqualified_previous_5,finish_rate_previous_5,reliability_score
2011_15,bruno_senna,0,0,0,0,0,1.0,1.0
2011_15,barrichello,1,0,1,0,0,0.8,0.7000000000000001
2011_15,kovalainen,1,0,1,0,0,0.8,0.7000000000000001
2011_15,trulli,3,0,3,0,0,0.4,0.09999999999999998
2011_15,glock,1,0,0,1,0,0.8,0.75
2011_15,ambrosio,1,0,1,0,0,0.8,0.7000000000000001
2011_15,ricciardo,1,0,1,0,0,0.8,0.7000000000000001
2011_15,liuzzi,2,0,1,1,0,0.6,0.45
2011_15,buemi,1,0,0,0,0,0.8,0.8
2011_16,vettel,0,0,0,0,0,1.0,1.0
2011_16,hamilton,1,0,0,1,0,0.8,0.75
2011_16,webber,1,0,0,1,0,0.8,0.75
2011_16,button,0,0,0,0,0,1.0,1.0
2011_16,alonso,0,0,0,0,0,1.0,1.0
2011_16,massa,0,0,0,0,0,1.0,1.0
2011_16,alguersuari,2,0,0,2,0,0.6,0.5
2011_16,rosberg,1,0,0,1,0,0.8,0.75
2011_16,buemi,2,0,0,0,0,0.6,0.6
2011_16,resta,0,0,0,0,0,1.0,1.0
2011_16,sutil,1,0,1,0,0,0.8,0.7000000000000001
2011_16,barrichello,0,0,0,0,0,1.0,1.0
2011_16,bruno_senna,0,0,0,0,0,1.0,1.0
2011_16,kovalainen,1,0,1,0,0,0.8,0.7000000000000001
2011_16,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_16,perez,2,0,2,0,0,0.6,0.39999999999999997
2011_16,trulli,2,0,2,0,0,0.6,0.39999999999999997
2011_16,glock,1,0,0,1,0,0.8,0.75
2011_16,ricciardo,1,0,1,0,0,0.8,0.7000000000000001
2011_16,ambrosio,1,0,1,0,0,0.8,0.7000000000000001
2011_16,liuzzi,1,0,0,1,0,0.8,0.75
2011_16,maldonado,0,0,0,0,0,1.0,1.0
2011_16,petrov,1,0,0,1,0,0.8,0.75
2011_16,michael_schumacher,2,0,1,1,0,0.6,0.45
2011_17,vettel,0,0,0,0,0,1.0,1.0
2011_17,button,0,0,0,0,0,1.0,1.0
2011_17,alonso,0,0,0,0,0,1.0,1.0
2011_17,webber,1,0,0,1,0,0.8,0.75
2011_17,michael_schumacher,2,0,0,2,0,0.6,0.5
2011_17,rosberg,1,0,0,1,0,0.8,0.75
2011_17,hamilton,1,0,0,1,0,0.8,0.75
2011_17,alguersuari,2,0,0,2,0,0.6,0.5
2011_17,sutil,1,0,1,0,0,0.8,0.7000000000000001
2011_17,perez,2,0,2,0,0,0.6,0.39999999999999997
2011_17,petrov,2,0,0,2,0,0.6,0.5
2011_17,bruno_senna,0,0,0,0,0,1.0,1.0
2011_17,resta,0,0,0,0,0,1.0,1.0
2011_17,kovalainen,0,0,0,0,0,1.0,1.0
2011_17,barrichello,0,0,0,0,0,1.0,1.0
2011_17,ambrosio,1,0,1,0,0,0.8,0.7000000000000001
2011_17,karthikeyan,0,0,0,0,0,1.0,1.0
2011_17,ricciardo,1,0,1,0,0,0.8,0.7000000000000001
2011_17,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_17,massa,0,0,0,0,0,1.0,1.0
2011_17,buemi,2,0,0,0,0,0.6,0.6
2011_17,maldonado,1,0,1,0,0,0.8,0.7000000000000001
2011_17,glock,1,0,0,1,0,0.8,0.75
2011_17,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_18,hamilton,0,0,0,0,0,1.0,1.0
2011_18,alonso,0,0,0,0,0,1.0,1.0
2011_18,button,0,0,0,0,0,1.0,1.0
2011_18,webber,1,0,0,1,0,0.8,0.75
2011_18,massa,1,0,1,0,0,0.8,0.7000000000000001
2011_18,rosberg,1,0,0,1,0,0.8,0.75
2011_18,michael_schumacher,2,0,0,2,0,0.6,0.5
2011_18,sutil,1,0,1,0,0,0.8,0.7000000000000001
2011_18,resta,0,0,0,0,0,1.0,1.0
2011_18,kobayashi,2,0,1,1,0,0.6,0.45
2011_18,perez,1,0,1,0,0,0.8,0.7000000000000001
2011_18,barrichello,0,0,0,0,0,1.0,1.0
2011_18,petrov,2,0,0,2,0,0.6,0.5
2011_18,maldonado,2,0,2,0,0,0.6,0.39999999999999997
2011_18,alguersuari,1,0,0,1,0,0.8,0.75
2011_18,bruno_senna,0,0,0,0,0,1.0,1.0
2011_18,kovalainen,0,0,0,0,0,1.0,1.0
2011_18,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_18,glock,2,0,0,2,0,0.6,0.5
2011_18,liuzzi,1,0,0,1,0,0.8,0.75
2011_18,ricciardo,0,0,0,0,0,1.0,1.0
2011_18,buemi,2,0,1,0,0,0.6,0.5
2011_18,ambrosio,1,0,1,0,0,0.8,0.7000000000000001
2011_18,vettel,0,0,0,0,0,1.0,1.0
2011_19,webber,0,0,0,0,0,1.0,1.0
2011_19,vettel,1,0,0,0,0,0.8,0.8
2011_19,button,0,0,0,0,0,1.0,1.0
2011_19,alonso,0,0,0,0,0,1.0,1.0
2011_19,massa,1,0,1,0,0,0.8,0.7000000000000001
2011_19,sutil,0,0,0,0,0,1.0,1.0
2011_19,rosberg,0,0,0,0,0,1.0,1.0
2011_19,resta,0,0,0,0,0,1.0,1.0
