race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2011_18,maldonado,19,1.0,0,1.0
2011_18,alguersuari,13,26.0,0,26.0
2011_18,bruno_senna,18,2.0,0,2.0
2011_18,kovalainen,24,0.0,0,0.0
2011_18,trulli,28,0.0,0,0.0
2011_18,glock,22,0.0,0,0.0
2011_18,liuzzi,25,0.0,0,0.0
2011_18,ricciardo,26,0.0,0,0.0
2011_18,buemi,15,15.0,0,15.0
2011_18,ambrosio,20,0.0,0,0.0
2011_18,vettel,1,374.0,11,484.0
2011_19,webber,4,233.0,0,233.0
2011_19,vettel,1,374.0,11,484.0
2011_19,button,2,255.0,3,285.0
2011_19,alonso,3,245.0,1,255.0
2011_19,massa,6,108.0,0,108.0
2011_19,sutil,11,34.0,0,34.0
2011_19,rosberg,7,83.0,0,83.0
2011_19,resta,14,23.0,0,23.0
2011_19,kobayashi,12,28.0,0,28.0
2011_19,petrov,9,36.0,0,36.0
2011_19,alguersuari,13,26.0,0,26.0
2011_19,buemi,15,15.0,0,15.0
2011_19,perez,16,14.0,0,14.0
2011_19,barrichello,17,4.0,0,4.0
2011_19,michael_schumacher,8,76.0,0,76.0
2011_19,kovalainen,24,0.0,0,0.0
2011_19,bruno_senna,18,2.0,0,2.0
2011_19,trulli,28,0.0,0,0.0
2011_19,ambrosio,20,0.0,0,0.0
2011_19,ricciardo,26,0.0,0,0.0
2011_19,liuzzi,25,0.0,0,0.0
2011_19,hamilton,5,227.0,3,257.0
2011_19,maldonado,19,1.0,0,1.0
2011_19,glock,22,0.0,0,0.0
2012_01,button,0,0.0,0,0.0
2012_01,vettel,0,0.0,0,0.0
2012_01,hamilton,0,0.0,0,0.0
2012_01,webber,0,0.0,0,0.0
2012_01,alonso,0,0.0,0,0.0
2012_01,kobayashi,0,0.0,0,0.0
2012_01,raikkonen,0,0.0,0,0.0
2012_01,perez,0,0.0,0,0.0
2012_01,ricciardo,0,0.0,0,0.0
2012_01,resta,0,0.0,0,0.0
2012_01,vergne,0,0.0,0,0.0
2012_01,rosberg,0,0.0,0,0.0
2012_01,maldonado,0,0.0,0,0.0
2012_01,glock,0,0.0,0,0.0
2012_01,pic,0,0.0,0,0.0
2012_01,bruno_senna,0,0.0,0,0.0
2012_01,massa,0,0.0,0,0.0
2012_01,kovalainen,0,0.0,0,0.0
2012_01,petrov,0,0.0,0,0.0
2012_01,michael_schumacher,0,0.0,0,0.0
2012_01,grosjean,0,0.0,0,0.0
2012_01,hulkenberg,0,0.0,0,0.0
2012_02,alonso,5,10.0,0,10.0
2012_02,perez,8,4.0,0,4.0
2012_02,hamilton,3,15.0,0,15.0
2012_02,webber,4,12.0,0,12.0
2012_02,raikkonen,7,6.0,0,6.0
2012_02,bruno_senna,11,0.0,0,0.0
2012_02,resta,10,1.0,0,1.0
2012_02,vergne,24,0.0,0,0.0
2012_02,hulkenberg,14,0.0,0,0.0
2012_02,michael_schumacher,19,0.0,0,0.0
2012_02,vettel,2,18.0,0,18.0
2012_02,ricciardo,9,2.0,0,2.0
2012_02,rosberg,23,0.0,0,0.0
2012_02,button,1,25.0,1,35.0
2012_02,massa,18,0.0,0,0.0
2012_02,petrov,20,0.0,0,0.0
2012_02,glock,12,0.0,0,0.0
2012_02,kovalainen,16,0.0,0,0.0
2012_02,maldonado,17,0.0,0,0.0
